nodes,edges,density,similarity_with_previous,bucket_length,bucket_num,mem_size,iters,total_msg,activated_nodes,msg_per_iter,time_per_iter,errors,mean_error,errors_per_iter
7716,11410810,0.013529138,0.9410905550146057,7,105,5,9,381,229,"[194, 26, 102, 2, 43, 0, 11, 0, 3]","[7, 0, 1, 0, 0, 0, 0, 0, 0]",7,1,13.247619047619047
7716,11410810,0.013474995,0.9296961985048513,7,105,5,19,529,301,"[264, 30, 145, 0, 53, 0, 20, 0, 7, 0, 4, 0, 1, 0, 2, 0, 1, 0, 2]","[10, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,1,13.247619047619047
7716,11410810,0.013326139,0.9431962025316456,7,105,5,19,399,239,"[210, 23, 97, 1, 35, 0, 8, 0, 4, 0, 8, 0, 8, 0, 2, 0, 1, 0, 2]","[9, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,13.247619047619047
7716,11410810,0.013158229,0.9379796397807361,7,105,5,13,468,279,"[244, 26, 108, 0, 49, 0, 17, 0, 11, 0, 12, 0, 1]","[11, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2,1,13.247619047619047
7716,11410810,0.013004346,0.9351251158480074,7,105,5,11,474,291,"[249, 31, 116, 1, 51, 0, 9, 0, 7, 0, 10]","[10, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",5,1,13.247619047619047
7716,11410810,0.012899246,0.9382280809319435,7,105,5,11,450,279,"[241, 29, 107, 0, 42, 0, 11, 0, 8, 0, 12]","[10, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",4,1,13.247619047619047
7716,11410810,0.012669371,0.9508347373257773,7,105,5,9,384,227,"[192, 27, 97, 1, 45, 0, 11, 0, 11]","[9, 0, 1, 0, 1, 0, 0, 0, 0]",5,1,13.247619047619047
7716,11410810,0.012325702,0.9294330518697226,7,105,5,11,412,241,"[204, 28, 96, 1, 47, 0, 21, 0, 4, 0, 11]","[9, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",4,1,13.247619047619047
7716,11410810,0.01224947,0.9342065642878651,7,105,5,13,600,339,"[293, 32, 162, 1, 63, 0, 26, 0, 6, 0, 6, 0, 11]","[15, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",10,1,13.247619047619047
7716,11410810,0.012154882,0.9437424789410349,7,105,5,15,485,284,"[244, 31, 120, 1, 50, 0, 19, 0, 2, 0, 2, 0, 5, 0, 11]","[11, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8,1,13.247619047619047
7716,11410810,0.012083511,0.9523381294964028,7,105,5,9,395,252,"[224, 17, 105, 0, 43, 0, 5, 0, 1]","[10, 0, 1, 0, 1, 0, 0, 0, 0]",9,1,13.247619047619047
7716,11410810,0.0118556805,0.9480958682546684,7,105,5,17,495,291,"[251, 33, 130, 0, 49, 0, 19, 0, 9, 0, 1, 0, 1, 0, 1, 0, 1]","[12, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,1,13.247619047619047
7716,11410810,0.011835919,0.9440894568690096,7,105,5,11,381,238,"[208, 23, 91, 0, 39, 0, 17, 0, 2, 0, 1]","[10, 1, 2, 0, 2, 0, 1, 0, 0, 0, 0]",4,1,13.247619047619047
7716,11410810,0.011762886,0.9411849295369571,7,105,5,13,464,292,"[239, 35, 114, 0, 52, 0, 18, 0, 3, 0, 1, 0, 2]","[11, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",5,1,13.247619047619047
7716,11410810,0.011657155,0.9321625832035122,7,105,5,13,479,275,"[232, 30, 125, 0, 54, 0, 16, 0, 9, 0, 11, 0, 2]","[13, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",11,1,13.247619047619047
7716,11410810,0.011545064,0.9421768707482994,7,105,5,9,436,256,"[216, 26, 110, 2, 47, 0, 24, 0, 11]","[13, 0, 1, 0, 1, 0, 1, 0, 0]",8,1,13.247619047619047
7716,11410810,0.01141695,0.9406947190059305,7,105,5,9,440,256,"[222, 25, 109, 0, 49, 0, 25, 0, 10]","[13, 0, 2, 0, 1, 0, 1, 0, 0]",12,1,13.247619047619047
7716,11410810,0.0109574925,0.9491237987563595,7,105,5,9,429,250,"[217, 25, 110, 1, 48, 0, 20, 0, 8]","[11, 0, 1, 0, 1, 0, 0, 0, 0]",12,1,13.247619047619047
7716,11410810,0.011173362,0.9503934794828556,7,105,5,7,409,262,"[221, 31, 106, 1, 43, 0, 7]","[9, 0, 1, 0, 1, 0, 0]",13,1,13.247619047619047
7716,11410810,0.011081511,0.9488073650439391,7,105,5,9,403,234,"[200, 26, 107, 0, 44, 0, 15, 0, 11]","[11, 0, 1, 0, 1, 0, 0, 0, 0]",16,1,13.247619047619047
